sample	sex	pop	source	super_pop	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA11918	U	CEU	1000G	EUR	-12.161045236918321	14.940339645022753	-0.43289669070556525	-0.11537671740284715	-4.237009556776462	-0.38373052378136013	0.06858633202549537	0.44541214897302805	-0.018445755963669232	1.0550689831840514
NA11919	U	CEU	1000G	EUR	-12.747260313669738	16.00244593957161	-3.405516295366309	-1.2501010100378993	-2.4926472171807936	0.8890678579837744	0.22715541329243363	-0.7885352677117217	0.16443103100459072	-1.1225595421447334
NA11920	U	CEU	1000G	EUR	-12.92078278193057	15.446763220697177	-2.3607723499496935	-0.24764236955100097	-1.2509066821588426	1.3595520187790515	-0.29029498599706294	0.11881859692523607	-0.05248195276107532	-0.43298834540603365
NA11930	U	CEU	1000G	EUR	-11.049304791899079	13.68093932856444	-1.779151193074026	-0.5601817378092311	-4.351896007157403	-0.9840259926392512	-0.8856139862413066	0.06712780278466021	-1.313956842775342	1.5317716295962975
NA11931	U	CEU	1000G	EUR	-12.345421854177374	15.359988879222788	-2.058581279110966	0.10675168265771914	-5.152407298974332	0.9313812419525136	-0.21269322297385954	-1.035629270851845	0.6153452881668688	2.0433188882536673
NA11932	U	CEU	1000G	EUR	-11.684313774189445	15.52276348343884	-2.9439553541276835	0.40860362707892894	9.512175582203419	-0.9618411765281348	-1.7225882068221006	-0.8668029250825017	-0.4072574056168443	0.3877218323613457
NA11933	U	CEU	1000G	EUR	-12.883547998846215	13.928918491895509	-1.3383068121363775	-0.5191141505880698	-4.466254340792383	-1.1817715597557708	0.8025720672753712	-0.2861351246681912	0.4530984522523241	-0.18570468106663934
NA11992	U	CEU	1000G	EUR	-13.253878772011914	14.973888974850132	-1.7895472881753296	-0.7291943451068016	-4.249333119220604	0.48262976220604764	1.2803505159124315	-0.07255069369611528	0.11812558994795426	0.214187946361038
NA11994	U	CEU	1000G	EUR	-13.211507275344262	16.704500518342726	-4.2227142777502	-1.1504968836285372	2.016373209854983	-0.40365576255233965	1.1038429898156765	-1.0241544923491697	0.21604181485750076	-0.029846402888980696
NA11995	U	CEU	1000G	EUR	-12.548689443044053	14.959184863634325	-2.576126565522685	-0.744801625069676	-3.3994804028550463	-1.0316881829731832	0.02678357944129011	-0.937026630128492	-0.050035997504311404	1.1250533143854897
NA12003	U	CEU	1000G	EUR	-12.72642409315989	14.7981905911799	-2.129589887738334	-0.447023217395371	-1.919868950174103	-0.34951737442651454	-0.08926194701449391	0.7663483837497768	0.10152911553179847	0.16490140995854582
NA12004	U	CEU	1000G	EUR	-11.991737229452117	14.19049263779838	-0.1120197927829588	0.7128461127834158	-3.08839562928421	0.7051839369441977	0.7572653890892688	0.08973101858505766	-2.0356339607702805	0.43764127322402174
NA12005	U	CEU	1000G	EUR	-10.848918125888867	14.26575596956596	-2.2017999077809987	-0.17649924900385036	-1.0833444329004998	-0.22234455822066185	0.3620464360689282	-0.4908791850419766	-0.48079284382055654	-0.9097032554224094
